No,商品名,サブ,色番,爪サンプル,質感,塗った回数,商品符号,税抜価格,発売年月,販売終了日,限定フラグ,情報公開日,色カテゴリID,シリーズID,タブ用シリーズ名,シリーズ名
117,ネイルホリック,,PK801,,,,DLMI801,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2140,Vivid,Vivid color
118,ネイルホリック,,PK804,,,,DLMI804,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2150,Classic,Classic color
119,ネイルホリック,,BE805,,,,DLMI805,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2150,Classic,Classic color
120,ネイルホリック,,BE806,,,,DLMI806,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2150,Classic,Classic color
121,ネイルホリック,,BE807,,,,DLMI807,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2150,Classic,Classic color
122,ネイルホリック,,PK808,,,,DLMI808,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2150,Classic,Classic color
123,ネイルホリック,,PK809,,,,DLMI809,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2150,Classic,Classic color
124,ネイルホリック,,PK810,,,,DLMI810,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2120,Juicy,Juicy color
125,ネイルホリック,,PK811,,,,DLMI811,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2090,Pinkish,Pinkish color
126,ネイルホリック,,PK812,,,,DLMI812,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2090,Pinkish,Pinkish color
127,ネイルホリック,,PK813,,,,DLMI813,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2090,Pinkish,Pinkish color
128,ネイルホリック,,PK814,,,,DLMI814,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2090,Pinkish,Pinkish color
129,ネイルホリック,,BE815,,,,DLMI815,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2090,Pinkish,Pinkish color
130,ネイルホリック,,BE816,,,,DLMI816,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2090,Pinkish,Pinkish color
131,ネイルホリック,,PK817,,,,DLMI817,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2110,Sheer pearl,Sheer pearl color
132,ネイルホリック,,PK818,,,,DLMI818,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2110,Sheer pearl,Sheer pearl color
133,ネイルホリック,,PK819,,,,DLMI819,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
134,ネイルホリック,,BE820,,,,DLMI820,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2050,Chic,Chic color
135,ネイルホリック,,PK821,,,,DLMI821,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2050,Chic,Chic color
136,ネイルホリック,,PK822,,,,DLMI822,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2030,Milky,Milky color
137,ネイルホリック,,PK823,,,,DLMI823,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2030,Milky,Milky color
138,ネイルホリック,,PK824,,,,DLMI824,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2030,Milky,Milky color
139,ネイルホリック,,PK825,,,,DLMI825,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2030,Milky,Milky color
140,ネイルホリック,,PK827,,,,DLMI827,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2010,Soulful,Soulful color
141,ネイルホリック,,PK828,,,,DLMI828,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2010,Soulful,Soulful color
142,ネイルホリック,,BL903,,,,DLMI903,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2140,Vivid,Vivid color
143,ネイルホリック,,BL905,,,,DLMI905,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
144,ネイルホリック,,BL906,,,,DLMI906,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
145,ネイルホリック,,BL907,,,,DLMI907,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2120,Juicy,Juicy color
146,ネイルホリック,,BL908,,,,DLMI908,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2140,Vivid,Vivid color
147,ネイルホリック,,BL909,,,,DLMI909,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2110,Sheer pearl,Sheer pearl color
148,ネイルホリック,,BL910,,,,DLMI910,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2100,Luxury,Luxury color
149,ネイルホリック,,BL911,,,,DLMI911,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2100,Luxury,Luxury color
150,ネイルホリック,,BL912,,,,DLMI912,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
151,ネイルホリック,,BL913,,,,DLMI913,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
