No,商品名,サブ,色番,カテゴリID,カテゴリ名,色カテゴリ,,,,表示名
117,ネイルホリック,,PK801,2140,Vivid color,ピンク,Vivid,,
118,ネイルホリック,,PK804,2150,Classic color,ピンク,Classic,,
119,ネイルホリック,,BE805,2150,Classic color,ベージュ,Classic,,
120,ネイルホリック,,BE806,2150,Classic color,ベージュ,Classic,,
121,ネイルホリック,,BE807,2150,Classic color,ベージュ,Classic,,
122,ネイルホリック,,PK808,2150,Classic color,ピンク,Classic,,
123,ネイルホリック,,PK809,2150,Classic color,ピンク,Classic,,
124,ネイルホリック,,PK810,2120,Juicy color,ピンク,Juicy,,
125,ネイルホリック,,PK811,2090,Pinkish color,ピンク,Pinkish,,
126,ネイルホリック,,PK812,2090,Pinkish color,ピンク,Pinkish,,
127,ネイルホリック,,PK813,2090,Pinkish color,ピンク,Pinkish,,
128,ネイルホリック,,PK814,2090,Pinkish color,ピンク,Pinkish,,
129,ネイルホリック,,BE815,2090,Pinkish color,ベージュ,Pinkish,,
130,ネイルホリック,,BE816,2090,Pinkish color,ベージュ,Pinkish,,
131,ネイルホリック,,PK817,2110,Sheer pearl color,ピンク,Sheer pearl,,
132,ネイルホリック,,PK818,2110,Sheer pearl color,ピンク,Sheer pearl,,
133,ネイルホリック,,PK819,2070,Ethnic color,ピンク,Ethnic,,
134,ネイルホリック,,BE820,2050,Chic color,ベージュ,Chic,,
135,ネイルホリック,,PK821,2050,Chic color,ピンク,Chic,,
136,ネイルホリック,,PK822,2030,Milky color,ピンク,Milky,,
137,ネイルホリック,,PK823,2030,Milky color,ピンク,Milky,,
138,ネイルホリック,,PK824,2030,Milky color,ピンク,Milky,,
139,ネイルホリック,,PK825,2030,Milky color,ピンク,Milky,,
140,ネイルホリック,,PK827,2010,Soulful color,ピンク,Soulful,,
141,ネイルホリック,,PK828,2010,Soulful color,ピンク,Soulful,,
142,ネイルホリック,,BL903,2140,Vivid color,青,Vivid,,
143,ネイルホリック,,BL905,2160,Mode color,青,Mode,,
144,ネイルホリック,,BL906,2160,Mode color,青,Mode,,
145,ネイルホリック,,BL907,2120,Juicy color,青,Juicy,,
146,ネイルホリック,,BL908,2140,Vivid color,青,Vivid,,
147,ネイルホリック,,BL909,2110,Sheer pearl color,青,Sheer pearl,,
148,ネイルホリック,,BL910,2100,Luxury color,青,Luxury,,
149,ネイルホリック,,BL911,2100,Luxury color,青,Luxury,,
150,ネイルホリック,,BL912,2070,Ethnic color,青,Ethnic,,
151,ネイルホリック,,BL913,2070,Ethnic color,青,Ethnic,,
152,ネイルホリック,,BL914,2050,Chic color,青,Chic,,
153,ネイルホリック,,BL915,2060,Dusty pastel color,青,Dusty pastel,,
154,ネイルホリック,,BL916,2080,Relaxing color,青,Relaxing,,
155,ネイルホリック,,BL917,2030,Milky color,青,Milky,,
156,ネイルホリック,,BL918,2030,Milky color,青,Milky,,
157,ネイルホリック,,BL919,2040,Galactic color,青,Galactic,,
158,ネイルホリック,,BL920,2020,Lagoon color,青,Lagoon,,
159,ネイルホリック,,BL921,2020,Lagoon color,青,Lagoon,,
160,ネイルホリック,,BL922,2020,Lagoon color,青,Lagoon,,
161,ネイルホリック パーティーフレーク,,SP020,3540,Party flake,金/銀,Party flake,,
